소재지 주소,용도,연면적,총주차대수,옥내기계식,옥외기계식,옥내자주식,옥외자주식,사용승인일,데이터 기준일자
서울특별시 동대문구 답십리동 1013,공동주택,144294.33,1196,0,0,1196,0,2019-04-05,2023-03-22
서울특별시 동대문구 답십리동 1014,공동주택,98512.28,887,0,0,878,9,2019-01-22,2023-03-22
서울특별시 동대문구 답십리동 1015,공동주택,7726.51,73,0,0,48,25,2020-12-30,2023-03-22
서울특별시 동대문구 신설동 6,공동주택,1592.22,22,14,0,7,1,2023-01-20,2023-03-22
서울특별시 동대문구 신설동 8-1,공동주택,1244.03,16,0,0,12,4,2008-10-13,2023-03-22
서울특별시 동대문구 신설동 41,공동주택,659.39,10,0,0,10,0,2019-05-13,2023-03-22
서울특별시 동대문구 신설동 45-2 외2필지,공동주택,2174.78,30,0,0,30,0,2018-09-04,2023-03-22
서울특별시 동대문구 신설동 81-80,공동주택,692,16,0,0,16,0,2018-01-05,2023-03-22
서울특별시 동대문구 신설동 89-191,공동주택,434.76,5,0,0,4,1,2013-12-02,2023-03-22
서울특별시 동대문구 신설동 92-31,공동주택,714.64,11,0,0,5,6,2013-03-25,2023-03-22
서울특별시 동대문구 신설동 93-17,공동주택,294.48,3,0,0,0,3,2002-08-20,2023-03-22
서울특별시 동대문구 신설동 93-22,공동주택,193.51,2,0,0,0,2,2002-11-08,2023-03-22
서울특별시 동대문구 신설동 94-7,공동주택,1293.62,11,0,8,0,3,2014-10-23,2023-03-22
서울특별시 동대문구 신설동 96-29,공동주택,321.2,3,0,0,0,3,2003-04-23,2023-03-22
서울특별시 동대문구 신설동 98-35,공동주택,579.68,4,0,0,1,3,2013-07-16,2023-03-22
서울특별시 동대문구 신설동 104-20,공동주택,1352.11,7,0,0,5,2,1984-06-04,2023-03-22
서울특별시 동대문구 신설동 109-13,공동주택,12315.8,84,0,0,84,0,2007-01-23,2023-03-22
서울특별시 동대문구 신설동 117-9,공동주택,12420.93,143,70,0,73,0,2017-11-30,2023-03-22
서울특별시 동대문구 용두동 20-3,공동주택,4038.28,17,0,0,0,17,1987-06-15,2023-03-22
서울특별시 동대문구 용두동 20-54,공동주택,659.06,5,0,0,0,5,1991-11-08,2023-03-22
서울특별시 동대문구 용두동 27-24,공동주택,474.45,4,0,0,2,2,2001-10-10,2023-03-22
서울특별시 동대문구 용두동 27-25,공동주택,453.61,5,0,0,0,5,2012-05-15,2023-03-22
서울특별시 동대문구 용두동 29-1,공동주택,9246.58,55,36,0,19,0,2010-06-29,2023-03-22
서울특별시 동대문구 용두동 39-15,공동주택,5396.32,30,0,0,0,30,1982-04-06,2023-03-22
서울특별시 동대문구 용두동 39-57,공동주택,362.69,6,0,0,6,0,2022-09-21,2023-03-22
서울특별시 동대문구 용두동 39-66,공동주택,534.88,8,0,0,8,0,2017-04-27,2023-03-22
서울특별시 동대문구 용두동 39-92,공동주택,534.09,8,0,0,8,0,2017-05-16,2023-03-22
서울특별시 동대문구 용두동 39-104,공동주택,500.4,8,0,0,0,8,2010-12-20,2023-03-22
서울특별시 동대문구 용두동 39-375,공동주택,592.06,8,0,0,6,2,2017-03-15,2023-03-22
서울특별시 동대문구 용두동 39-382,공동주택,598.66,8,0,0,0,8,2015-11-30,2023-03-22
서울특별시 동대문구 용두동 39-391,공동주택,606.67,8,0,0,1,7,2016-04-20,2023-03-22
서울특별시 동대문구 용두동 39-412,공동주택,444.04,6,0,0,3,3,2011-11-10,2023-03-22
서울특별시 동대문구 용두동 39-413,공동주택,459.49,4,0,0,2,2,2004-07-09,2023-03-22
서울특별시 동대문구 용두동 39-415,공동주택,429.45,7,0,0,6,1,2013-10-11,2023-03-22
서울특별시 동대문구 용두동 39-416,공동주택,376.72,6,0,0,3,3,2014-11-18,2023-03-22
서울특별시 동대문구 용두동 39-423,공동주택,539.657,8,0,0,0,8,2016-03-03,2023-03-22
서울특별시 동대문구 용두동 39-427,공동주택,563.08,8,0,0,0,8,2014-01-07,2023-03-22
서울특별시 동대문구 용두동 39-430,공동주택,439.89,4,0,0,2,2,2012-11-01,2023-03-22
서울특별시 동대문구 용두동 39-455 외1필지,공동주택,515.54,7,0,0,7,0,2018-05-10,2023-03-22
서울특별시 동대문구 용두동 39-463 외 2필지,공동주택,550.11,8,0,0,4,4,2019-05-31,2023-03-22
서울특별시 동대문구 용두동 39-481 외2필지,공동주택,534.2,8,0,0,4,4,2018-01-10,2023-03-22
서울특별시 동대문구 용두동 39-507,공동주택,554.14,8,0,0,0,8,2017-06-23,2023-03-22
서울특별시 동대문구 용두동 39-535,공동주택,659.27,10,0,0,6,4,2019-07-17,2023-03-22
서울특별시 동대문구 용두동 39-546,공동주택,597.41,8,0,0,2,6,2015-04-10,2023-03-22
서울특별시 동대문구 용두동 39-570,공동주택,450.43,7,0,0,0,7,2014-09-22,2023-03-22
서울특별시 동대문구 용두동 39-572,공동주택,369.94,6,0,0,4,2,2012-11-29,2023-03-22
서울특별시 동대문구 용두동 39-581,공동주택,461.65,7,0,0,0,7,2013-10-22,2023-03-22
서울특별시 동대문구 용두동 39-602,공동주택,522.62,8,0,0,4,4,2017-03-10,2023-03-22
서울특별시 동대문구 용두동 39-610 외2필지,공동주택,652.75,10,0,0,6,4,2018-07-24,2023-03-22
서울특별시 동대문구 용두동 39-624 외2필지,공동주택,652.42,10,0,0,0,10,2020-12-31,2023-03-22
서울특별시 동대문구 용두동 39-649,공동주택,489.04,6,0,0,4,2,2013-11-15,2023-03-22
서울특별시 동대문구 용두동 39-663,공동주택,723.15,13,0,0,0,13,2016-10-24,2023-03-22
서울특별시 동대문구 용두동 39-670,공동주택,245.54,4,0,0,2,2,2015-06-18,2023-03-22
서울특별시 동대문구 용두동 39-675,공동주택,685.62,7,0,0,0,7,2002-12-13,2023-03-22
서울특별시 동대문구 용두동 39-684,공동주택,484.55,7,0,0,0,7,2015-02-02,2023-03-22
서울특별시 동대문구 용두동 39-692,공동주택,634.89,9,0,0,0,9,2014-10-02,2023-03-22
서울특별시 동대문구 용두동 39-700,공동주택,242.83,3,0,0,3,0,2016-08-30,2023-03-22
서울특별시 동대문구 용두동 39-701,공동주택,587.41,8,0,0,8,0,2016-08-25,2023-03-22
서울특별시 동대문구 용두동 39-718,공동주택,290.81,4,0,0,2,2,2002-10-24,2023-03-22
서울특별시 동대문구 용두동 39-739,공동주택,659.38,8,0,0,0,8,2013-09-27,2023-03-22
서울특별시 동대문구 용두동 39-754,공동주택,294.69,6,0,0,4,2,2014-05-12,2023-03-22
서울특별시 동대문구 용두동 39-761,공동주택,656.26,9,0,0,9,0,2019-08-28,2023-03-22
서울특별시 동대문구 용두동 39-774,공동주택,584.16,9,0,0,3,6,2017-06-27,2023-03-22
