주차일시,주차장구분,주차장명,소재지 도로명 주소,주차구획수,운영요일,입차대수,출차대수,정기주차 이용대수,일일주차 이용대수
2023-02-08,노외주차장,광평천1주차장,구미시 송정동 505,186,월~금,177,189,90,180
2023-02-08,노외주차장,광평천2주차장,구미시 송정동 505,171,월~금,254,269,139,378
2023-02-08,노외주차장,광평천3주차장,구미시 송정동 505,261,월~금,702,699,266,941
2023-02-08,노외주차장,광평천4주차장,구미시 송정동 505,166,월~금,289,284,180,454
2023-02-08,노외주차장,광평천5주차장,구미시 송정동 505,136,월~금,525,524,41,540
2023-02-08,노외주차장,광평천6주차장,구미시 형곡동 226,124,월~금,350,352,80,417
2023-02-09,노외주차장,광평천1주차장,구미시 송정동 505,186,월~금,170,185,82,175
2023-02-09,노외주차장,광평천2주차장,구미시 송정동 505,171,월~금,211,206,154,336
2023-02-09,노외주차장,광평천3주차장,구미시 송정동 505,261,월~금,533,527,251,741
2023-02-09,노외주차장,광평천4주차장,구미시 송정동 505,166,월~금,315,308,180,474
2023-02-09,노외주차장,광평천5주차장,구미시 송정동 505,136,월~금,498,499,42,518
2023-02-09,노외주차장,광평천6주차장,구미시 형곡동 226,124,월~금,345,342,77,410
2023-02-10,노외주차장,광평천1주차장,구미시 송정동 505,186,월~금,169,140,82,207
2023-02-10,노외주차장,광평천2주차장,구미시 송정동 505,171,월~금,259,236,143,372
2023-02-10,노외주차장,광평천3주차장,구미시 송정동 505,261,월~금,537,504,253,751
2023-02-10,노외주차장,광평천4주차장,구미시 송정동 505,166,월~금,364,352,175,521
2023-02-10,노외주차장,광평천5주차장,구미시 송정동 505,136,월~금,601,572,31,598
2023-02-10,노외주차장,광평천6주차장,구미시 형곡동 226,124,월~금,434,415,73,484
2023-02-11,노외주차장,광평천1주차장,구미시 송정동 505,186,월~금,253,334,67,278
2023-02-11,노외주차장,광평천2주차장,구미시 송정동 505,171,월~금,282,334,30,289
2023-02-11,노외주차장,광평천3주차장,구미시 송정동 505,261,월~금,472,576,36,475
2023-02-11,노외주차장,광평천4주차장,구미시 송정동 505,166,월~금,420,426,51,423
2023-02-11,노외주차장,광평천5주차장,구미시 송정동 505,136,월~금,581,631,17,548
2023-02-11,노외주차장,광평천6주차장,구미시 형곡동 226,124,월~금,396,408,39,415
2023-02-12,노외주차장,광평천1주차장,구미시 송정동 505,186,월~금,185,285,38,202
2023-02-12,노외주차장,광평천2주차장,구미시 송정동 505,171,월~금,229,295,25,274
2023-02-12,노외주차장,광평천3주차장,구미시 송정동 505,261,월~금,216,357,21,308
2023-02-12,노외주차장,광평천4주차장,구미시 송정동 505,166,월~금,227,332,22,288
2023-02-12,노외주차장,광평천5주차장,구미시 송정동 505,136,월~금,311,412,4,317
2023-02-12,노외주차장,광평천6주차장,구미시 형곡동 226,124,월~금,224,258,23,253
2023-02-13,노외주차장,광평천1주차장,구미시 송정동 505,186,월~금,166,199,88,255
2023-02-13,노외주차장,광평천2주차장,구미시 송정동 505,171,월~금,191,187,155,333
2023-02-13,노외주차장,광평천3주차장,구미시 송정동 505,261,월~금,446,436,242,667
2023-02-13,노외주차장,광평천4주차장,구미시 송정동 505,166,월~금,272,265,177,437
2023-02-13,노외주차장,광평천5주차장,구미시 송정동 505,136,월~금,478,489,36,516
2023-02-13,노외주차장,광평천6주차장,구미시 형곡동 226,124,월~금,418,412,76,487
2023-02-14,노외주차장,광평천1주차장,구미시 송정동 505,186,월~금,173,167,84,231
2023-02-14,노외주차장,광평천2주차장,구미시 송정동 505,171,월~금,224,229,152,373
2023-02-14,노외주차장,광평천3주차장,구미시 송정동 505,261,월~금,513,492,262,750
2023-02-14,노외주차장,광평천4주차장,구미시 송정동 505,166,월~금,329,322,168,484
2023-02-14,노외주차장,광평천5주차장,구미시 송정동 505,136,월~금,498,483,44,513
2023-02-14,노외주차장,광평천6주차장,구미시 형곡동 226,124,월~금,386,388,80,456
2023-02-15,노외주차장,광평천1주차장,구미시 송정동 505,186,월~금,173,178,84,239
2023-02-15,노외주차장,광평천2주차장,구미시 송정동 505,171,월~금,229,236,132,363
2023-02-15,노외주차장,광평천3주차장,구미시 송정동 505,261,월~금,595,618,253,853
2023-02-15,노외주차장,광평천4주차장,구미시 송정동 505,166,월~금,300,298,178,470
2023-02-15,노외주차장,광평천5주차장,구미시 송정동 505,136,월~금,498,506,40,537
2023-02-15,노외주차장,광평천6주차장,구미시 형곡동 226,124,월~금,382,380,81,459
2023-02-16,노외주차장,광평천1주차장,구미시 송정동 505,186,월~금,199,206,89,277
2023-02-16,노외주차장,광평천2주차장,구미시 송정동 505,171,월~금,260,255,145,397
2023-02-16,노외주차장,광평천3주차장,구미시 송정동 505,261,월~금,519,512,251,756
2023-02-16,노외주차장,광평천4주차장,구미시 송정동 505,166,월~금,295,295,184,477
2023-02-16,노외주차장,광평천5주차장,구미시 송정동 505,136,월~금,516,510,39,546
2023-02-16,노외주차장,광평천6주차장,구미시 형곡동 226,124,월~금,382,380,70,446
2023-02-17,노외주차장,광평천1주차장,구미시 송정동 505,186,월~금,194,150,90,224
2023-02-17,노외주차장,광평천2주차장,구미시 송정동 505,171,월~금,216,205,121,319
2023-02-17,노외주차장,광평천3주차장,구미시 송정동 505,261,월~금,506,485,267,743
2023-02-17,노외주차장,광평천4주차장,구미시 송정동 505,166,월~금,384,351,168,509
2023-02-17,노외주차장,광평천5주차장,구미시 송정동 505,136,월~금,568,555,38,582
2023-02-17,노외주차장,광평천6주차장,구미시 형곡동 226,124,월~금,421,414,65,474
2023-02-18,노외주차장,광평천1주차장,구미시 송정동 505,186,월~금,290,366,56,220
2023-02-18,노외주차장,광평천2주차장,구미시 송정동 505,171,월~금,260,306,33,252
2023-02-18,노외주차장,광평천3주차장,구미시 송정동 505,261,월~금,444,510,40,421
2023-02-18,노외주차장,광평천4주차장,구미시 송정동 505,166,월~금,399,401,43,374
2023-02-18,노외주차장,광평천5주차장,구미시 송정동 505,136,월~금,579,605,26,550
2023-02-18,노외주차장,광평천6주차장,구미시 형곡동 226,124,월~금,391,386,35,393
2023-02-19,노외주차장,광평천1주차장,구미시 송정동 505,186,월~금,172,287,39,205
2023-02-19,노외주차장,광평천2주차장,구미시 송정동 505,171,월~금,177,263,39,231
2023-02-19,노외주차장,광평천3주차장,구미시 송정동 505,261,월~금,185,340,20,268
2023-02-19,노외주차장,광평천4주차장,구미시 송정동 505,166,월~금,226,318,21,286
2023-02-19,노외주차장,광평천5주차장,구미시 송정동 505,136,월~금,343,446,9,358
2023-02-19,노외주차장,광평천6주차장,구미시 형곡동 226,124,월~금,219,267,18,242
2023-02-20,노외주차장,광평천1주차장,구미시 송정동 505,186,월~금,169,193,80,226
2023-02-20,노외주차장,광평천2주차장,구미시 송정동 505,171,월~금,218,221,144,356
2023-02-20,노외주차장,광평천3주차장,구미시 송정동 505,261,월~금,493,485,258,727
