주차장일련번호,주차장명,주차장전화번호,주차장주소,주차장위도,주차장경도,주차장공간,주차장일반공간,주차장장애인공간,주차장전기차공간,주차장구분,주차장유형,주차장요금제유형,주차장급지,주차장기본시간,주차장기본요금,주차장추가시간,주차장추가요금,주차장최대시간,주차장1일최대요금,주차장유료운영시간,주차장무료운영시간,비고,실시간관제여부,파일명,파일원본명,등록수,등록일시,등록아이피,등록아이디,수정일시,수정아이피,수정아이디,삭제일시,삭제아이피,삭제아이디,폐쇄회로그룹
41,문화동 쌈지공영주차장,,광주광역시 북구 문흥동 872-1 2,35.1818279,126.9274227,9,9,0,0,일반공영,근린,무료,,0,0,0,0,0,0,,매일 00:00~00:00,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,,,,,,,문화동 쌈지공영주차장
42,두암1동 쌈지공영주차장,,광주광역시 북구 두암동 853-4 5,35.1717186,126.9321852,8,7,1,0,일반공영,근린,무료,,0,0,0,0,0,0,,매일 00:00~00:00,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,,,,,,,두암1동 쌈지공영주차장
43,두암2동 쌈지공영주차장,,광주광역시 북구 두암동 582-7 외 1,35.1758589,126.9320399,6,6,0,0,일반공영,근린,무료,,0,0,0,0,0,0,,매일 00:00~00:00,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,,,,,,,두암2동 쌈지공영주차장
44,두암2동 쌈지공영주차장,,광주광역시 북구 두암동 832-1,35.1741681,126.9298065,7,7,0,0,일반공영,근린,무료,,0,0,0,0,0,0,,매일 00:00~00:00,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,,,,,,,두암2동 쌈지공영주차장
45,두암3동 쌈지공영주차장,,광주광역시 북구 두암동 283-1,35.1632489,126.9348198,18,17,1,0,일반공영,근린,무료,,0,0,0,0,0,0,,매일 00:00~00:00,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,,,,,,,두암3동 쌈지공영주차장
46,두암3동 쌈지공영주차장,,광주광역시 북구 두암동 304-54 외 2,35.1640616,126.9334752,11,11,0,0,일반공영,근린,무료,,0,0,0,0,0,0,,매일 00:00~00:00,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,,,,,,,두암3동 쌈지공영주차장
47,두암3동 쌈지공영주차장,,광주광역시 북구 두암동 904-38,35.1678776,126.9330038,18,17,1,0,일반공영,근린,유료,3,30,300,15,150,0,3900,평일 08:00~19:00,평일 19:00~익일 08:00 / 주말,,Y,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,2022-06-20,211.253.121.34,b***********,,,,두암3동 쌈지공영주차장
48,석곡동 쌈지공영주차장,,광주광역시 북구 망월동 570 외 2,35.204335,126.9528794,4,4,0,0,일반공영,근린,무료,,0,0,0,0,0,0,,매일 00:00~00:00,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,,,,,,,석곡동 쌈지공영주차장
49,용봉동  쌈지공영주차장,,광주광역시 북구 용봉동 1205-36 외 1,35.1817749,126.9052786,9,9,0,0,일반공영,근린,무료,,0,0,0,0,0,0,,매일 00:00~00:00,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,,,,,,,용봉동  쌈지공영주차장
50,삼각동  쌈지공영주차장,,광주광역시 북구 삼각동 820-2,35.1993888,126.901905,8,8,0,0,일반공영,근린,무료,,0,0,0,0,0,0,,매일 00:00~00:00,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,,,,,,,삼각동  쌈지공영주차장
51,매곡동  쌈지공영주차장,,광주광역시 북구 매곡동 48 외 1,35.1884407,126.8920133,19,18,1,0,일반공영,근린,무료,,0,0,0,0,0,0,,매일 00:00~00:00,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,,,,,,,매곡동  쌈지공영주차장
52,운암2동 쌈지공영주차장,,광주광역시 북구 운암동 480-26 외 1 ,35.1755571,126.8850875,9,9,0,0,일반공영,근린,무료,,0,0,0,0,0,0,,매일 00:00~00:00,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,,,,,,,운암2동 쌈지공영주차장
53,건국동 쌈지공영주차장,,광주광역시 북구 본촌동 3034,35.2141206,126.8788836,7,7,0,0,일반공영,근린,무료,,0,0,0,0,0,0,,매일 00:00~00:00,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,,,,,,,건국동 쌈지공영주차장
54,양산동 쌈지공영주차장,,광주광역시 북구 양산동 620-64,35.1951737,126.8763443,12,11,1,0,일반공영,근린,무료,,0,0,0,0,0,0,,매일 00:00~00:00,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,,,,,,,양산동 쌈지공영주차장
55,양산동 쌈지공영주차장,,광주광역시 북구 양산동 611-14 외 2,35.195737,126.8758295,7,7,0,0,일반공영,근린,무료,,0,0,0,0,0,0,,매일 00:00~00:00,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,,,,,,,양산동 쌈지공영주차장
56,양산동 쌈지공영주차장,,광주광역시 북구 양산동 254-66 외 1,35.2083021,126.8722107,9,9,0,0,일반공영,근린,무료,,0,0,0,0,0,0,,매일 00:00~00:00,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,,,,,,,양산동 쌈지공영주차장
57,중흥1동행정복지센터 주차장,,광주광역시 북구 중흥동 650-7,35.1616403,126.9139436,7,5,1,1,일반공영,근린,무료,,0,0,0,0,0,0,,매일 00:00~00:00,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,,,,,,,중흥1동행정복지센터 주차장
58,중흥2동행정복지센터 주차장,,광주광역시 북구 중흥동 347-1,35.1685009,126.9093015,4,2,1,1,일반공영,근린,무료,,0,0,0,0,0,0,,매일 00:00~00:00,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,,,,,,,중흥2동행정복지센터 주차장
59,중흥2동행정복지센터 주차장,,광주광역시 북구 중흥동 348-24,35.1680184,126.9093801,9,8,1,0,일반공영,근린,무료,,0,0,0,0,0,0,,매일 00:00~00:00,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,,,,,,,중흥2동행정복지센터 주차장
60,중흥3동행정복지센터 주차장,,광주광역시 북구 중흥동 286-40,35.1722765,126.9171389,10,8,1,1,일반공영,근린,무료,,0,0,0,0,0,0,,매일 00:00~00:00,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,,,,,,,중흥3동행정복지센터 주차장
61,신안동행정복지센터 주차장,,광주광역시 북구 신안동 500-5,35.1674362,126.8987592,7,5,1,1,일반공영,근린,무료,,0,0,0,0,0,0,,매일 00:00~00:00,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,,,,,,,신안동행정복지센터 주차장
62,신안동행정복지센터 주차장,,광주광역시 북구 신안동 497-6,35.1677769,126.898805,10,10,0,0,일반공영,근린,무료,,0,0,0,0,0,0,,매일 00:00~00:00,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,,,,,,,신안동행정복지센터 주차장
63,임동행정복지센터 주차장,,광주광역시 북구 임동 129-2,35.1658443,126.8941538,11,9,1,1,일반공영,근린,무료,,0,0,0,0,0,0,,매일 00:00~00:00,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,2022-06-29,211.253.121.34,b***********,,,,임동행정복지센터 주차장
64,중앙동행정복지센터 주차장,,광주광역시 북구 유동 14-6,35.157369,126.9066642,10,8,1,1,일반공영,근린,무료,,0,0,0,0,0,0,,매일 00:00~00:00,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,,,,,,,중앙동행정복지센터 주차장
65,문흥1동행정복지센터 주차장,,광주광역시 북구 문흥동 996-6 ,35.1868197,126.9216301,23,19,1,3,일반공영,근린,무료,,0,0,0,0,0,0,,매일 00:00~00:00,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,,,,,,,문흥1동행정복지센터 주차장
66,오치1동행정복지센터 주차장,,광주광역시 북구 오치동 941-22,35.1891294,126.9081381,17,15,1,1,일반공영,근린,무료,,0,0,0,0,0,0,,매일 00:00~00:00,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,,,,,,,오치1동행정복지센터 주차장
67,오치2동행정복지센터 주차장,,광주광역시 북구 오치동 861-58 ,35.1900075,126.9005263,21,19,1,1,일반공영,근린,무료,,0,0,0,0,0,0,,매일 00:00~00:00,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,,,,,,,오치2동행정복지센터 주차장
68,두암1동행정복지센터 주차장,,광주광역시 북구 두암동 862-13,35.1710299,126.9289401,15,13,1,1,일반공영,근린,무료,,0,0,0,0,0,0,,매일 00:00~00:00,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,,,,,,,두암1동행정복지센터 주차장
69,두암2동행정복지센터 주차장,,광주광역시 북구 두암동 825-9,35.1745702,126.9325069,14,12,1,1,일반공영,근린,무료,,0,0,0,0,0,0,,매일 00:00~00:00,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,,,,,,,두암2동행정복지센터 주차장
