지형지물부호,관리번호,행정읍면동,법정읍면동,도엽번호,관리기관,도로구간번호,설치일자,주차장위치구분,주차요금구분,요금,주차면수,장애자주차면수,전체면적,운영시간(개장시간),운영시간(폐장시간),주차방향,데이터기준일자
AE230,212,4717011000,4717011000,368081681D,MNG001,865,2017-01-01,PST001,CHR001,,4,0,41.69,,,PKN001,2023-08-31
AE230,227,4717011000,4717011000,368081692A,MNG001,993,2017-01-01,PST001,CHR001,,12,0,107.46,,,PKN001,2023-08-31
AE230,2003,4717025000,4717025021,368071745B,MNG001,20668,2017-01-01,PST002,CHR001,무료,14,0,167,0:00,0:00,PKN003,2023-08-31
AE230,84,4717014400,4717011200,368072078A,MNG001,78029,2017-01-01,PST001,CHR002,30분당500원,1,0,10.94,8:00,20:00,PKN003,2023-08-31
AE230,90,4717014400,4717011100,368072078A,MNG001,78029,2017-01-01,PST001,CHR002,30분당500원,1,0,9.87,8:00,20:00,PKN003,2023-08-31
AE230,246,4717014500,4717014000,368072505B,MNG001,1994,2017-01-01,PST001,CHR001,,14,0,174.82,,,PKN001,2023-08-31
AE230,5026,4717012200,4717012200,368072083B,MNG001,7167,2017-01-01,PST001,CHR001,무료,9,3,123.57,0:00,0:00,PKN001,2023-08-31
AE230,219,4717011000,4717011000,368072089A,MNG001,1447,2017-01-01,PST001,CHR001,,26,0,443.84,,,PKN002,2023-08-31
AE230,210,4717011000,4717011000,368081681D,MNG001,865,2017-01-01,PST001,CHR001,,1,0,10.81,,,PKN001,2023-08-31
AE230,42,4717014400,4717010100,368072067C,MNG001,67038,2017-01-01,PST001,CHR001,,3,0,39.4,,,PKN003,2023-08-31
AE230,34,4717014400,4717011600,368072076B,MNG001,76130,2017-01-01,PST001,CHR002,30분당500원,10,0,102.44,8:00,20:00,PKN003,2023-08-31
AE230,58,4717014400,4717010300,368072067A,MNG001,67097,2017-01-01,PST001,CHR002,30분당500원,2,0,26.49,8:00,20:00,PKN003,2023-08-31
AE230,100000,4717014600,4717013600,368071959D,MNG001,140200,1990-01-01,PST002,CHR001,무료,10,0,131.29,0:00,0:00,PKN003,2023-08-31
AE230,215,4717011000,4717011000,368081681D,MNG001,946,2017-01-01,PST001,CHR001,,1,0,11.82,,,PKN001,2023-08-31
AE230,100015,4717011000,4717013700,368081698C,MNG001,140362,1990-01-01,PST002,CHR001,무료,9,0,57,0:00,0:00,PKN003,2023-08-31
AE230,24,4717014300,4717012000,368072065C,MNG001,65018,2017-01-01,PST001,CHR002,30분당500원,1,0,11.73,8:00,20:00,PKN003,2023-08-31
AE230,128,4717014400,4717011600,368072076A,MNG001,56,2017-01-01,PST001,CHR001,,2,0,0,,,PKN001,2023-08-31
AE230,15,4717012700,4717012700,368072064D,MNG001,64092,2017-01-01,PST001,CHR001,,2,0,25.34,,,PKN003,2023-08-31
AE230,8004,4717055500,4717013000,368081655D,MNG001,8005,2010-01-01,PST002,CHR001,무료,4,2,65.91,0:00,0:00,PKN003,2023-08-31
AE230,104,4717014400,4717012400,368072066C,MNG001,298,2017-01-01,PST001,CHR001,,2,0,0,,,PKN001,2023-08-31
AE230,5,4717012800,4717012800,368072044C,MNG001,44042,2017-01-01,PST001,CHR001,,3,0,37.03,,,PKN003,2023-08-31
AE230,20,4717012800,4717012800,368072044B,MNG001,44153,2017-01-01,PST001,CHR001,,2,0,21.54,,,PKN003,2023-08-31
AE230,22,4717014300,4717012100,368072075C,MNG001,75079,2017-01-01,PST001,CHR001,,9,0,112.7,,,PKN003,2023-08-31
AE230,96,4717014400,4717010900,368072079B,MNG001,79033,2017-01-01,PST001,CHR001,,13,0,148.13,,,PKN003,2023-08-31
AE230,5029,4717012200,4717012200,368072074A,MNG001,5383,2017-01-01,PST001,CHR001,무료,2,0,23.43,0:00,0:00,PKN001,2023-08-31
AE230,5008,4717012700,4717012900,368072052C,MNG001,6029,2017-01-01,PST001,CHR001,무료,2,0,18.04,0:00,0:00,PKN001,2023-08-31
AE230,52,4717014400,4717010100,368072067C,MNG001,67032,2017-01-01,PST001,CHR002,30분당500원,1,0,12.61,7:00,20:00,PKN003,2023-08-31
AE230,129,4717014400,4717011600,368072076A,MNG001,56,2017-01-01,PST001,CHR001,,3,0,0,,,PKN001,2023-08-31
AE230,207,4717011000,4717011000,368081681D,MNG001,514,2017-01-01,PST001,CHR001,,2,0,22.86,,,PKN001,2023-08-31
AE230,56,4717014400,4717010300,368072067A,MNG001,67097,2017-01-01,PST001,CHR001,30분당500원,2,0,22.21,8:00,20:00,PKN003,2023-08-31
AE230,86,4717014400,4717011100,368072068C,MNG001,68014,2017-01-01,PST001,CHR001,,3,0,25.73,,,PKN003,2023-08-31
AE230,5006,4717012200,4717012200,368072052C,MNG001,6275,2017-01-01,PST001,CHR001,무료,9,0,86.92,0:00,0:00,PKN001,2023-08-31
AE230,67,4717014400,4717011300,368072077B,MNG001,77039,2017-01-01,PST001,CHR002,30분당500원,7,0,80.5,8:00,20:00,PKN003,2023-08-31
AE230,8012,4717055500,4717013000,368081666A,MNG001,8023,2010-01-01,PST002,CHR001,무료,14,0,141.31,0:00,0:00,PKN003,2023-08-31
AE230,91,4717014400,4717011100,368072078A,MNG001,78029,2017-01-01,PST001,CHR002,30분당500원,1,0,8.35,8:00,20:00,PKN003,2023-08-31
AE230,5021,4717012200,4717012200,368072071D,MNG001,6760,2017-01-01,PST001,CHR001,무료,3,0,49.4,0:00,0:00,PKN001,2023-08-31
AE230,46,4717014400,4717011500,368072077A,MNG001,77027,2017-01-01,PST001,CHR002,30분당500원,4,0,45.55,8:00,20:00,PKN003,2023-08-31
AE230,41,4717014400,4717010100,368072067C,MNG001,67038,2017-01-01,PST001,CHR001,,5,0,61.31,,,PKN003,2023-08-31
AE230,134,4717014400,4717011600,368072066C,MNG001,62,2017-01-01,PST001,CHR002,,9,0,0,8:00,20:00,PKN002,2023-08-31
AE230,54,4717014400,4717010100,368072067C,MNG001,67032,2017-01-01,PST001,CHR002,30분당500원,5,0,53.61,7:00,20:00,PKN001,2023-08-31
AE230,83,4717014400,4717011200,368072067D,MNG001,68064,2017-01-01,PST001,CHR001,,6,0,45.44,,,PKN003,2023-08-31
AE230,5040,4717012700,4717012700,368072053D,MNG001,7126,2017-01-01,PST001,CHR001,무료,4,0,41.46,0:00,0:00,PKN001,2023-08-31
AE230,113,4717014300,4717011900,368072065D,MNG001,69,2017-01-01,PST001,CHR002,,4,1,0,8:00,20:00,PKN001,2023-08-31
AE230,223,4717011000,4717011000,368081681A,MNG001,659,2017-01-01,PST001,CHR001,,11,0,138.08,,,PKN001,2023-08-31
AE230,202,4717011000,4717011000,368081682C,MNG001,514,2017-01-01,PST001,CHR001,,2,0,22.15,,,PKN001,2023-08-31
AE230,8020,4717055500,4717013000,368081666D,MNG001,8021,2010-01-01,PST002,CHR001,무료,11,0,108.51,0:00,0:00,PKN003,2023-08-31
AE230,8023,4717055500,4717013000,368081666D,MNG001,8021,2010-01-01,PST002,CHR001,무료,13,0,554.82,0:00,0:00,PKN003,2023-08-31
AE230,229,4717011000,4717011000,368081693A,MNG001,939,2017-01-01,PST001,CHR001,,11,0,119.68,,,PKN001,2023-08-31
AE230,2002,4717025000,4717025023,368071746A,MNG001,20656,2017-01-01,PST002,CHR001,무료,13,0,211,0:00,0:00,PKN003,2023-08-31
AE230,8014,4717055500,4717013000,368081666A,MNG001,8023,2010-01-01,PST002,CHR001,무료,44,0,451.13,0:00,0:00,PKN003,2023-08-31
AE230,32,4717014300,4717011700,368072076A,MNG001,76046,2017-01-01,PST001,CHR001,,12,0,128.79,,,PKN003,2023-08-31
AE230,93,4717014400,4717010800,368072068C,MNG001,68058,2017-01-01,PST001,CHR001,,9,0,115.64,,,PKN002,2023-08-31
AE230,2006,4717025000,4717025021,368071745B,MNG001,20668,2017-01-01,PST002,CHR001,무료,11,0,293.9,0:00,0:00,PKN003,2023-08-31
AE230,21,4717014300,4717012100,368072075C,MNG001,75079,2017-01-01,PST001,CHR001,,10,0,123.94,,,PKN003,2023-08-31
AE230,133,4717014400,4717010200,368072066C,MNG001,64,2017-01-01,PST001,CHR002,,2,0,0,,,PKN001,2023-08-31
AE230,123,4717014300,4717011700,368072066C,MNG001,65,2017-01-01,PST001,CHR002,,10,0,0,8:00,20:00,PKN001,2023-08-31
AE230,255,4717014500,4717014000,368072506A,MNG001,2058,2017-01-01,PST001,CHR001,,23,0,285.03,,,PKN001,2023-08-31
AE230,108,4717014300,4717011800,368072065D,MNG001,82,2017-01-01,PST001,CHR002,,8,0,0,8:00,20:00,PKN001,2023-08-31
AE230,233,4717014300,4717011900,368072085A,MNG001,1563,2017-01-01,PST001,CHR001,,59,0,650.04,,,PKN002,2023-08-31
AE230,5016,4717012700,4717012700,368072063B,MNG001,6559,2017-01-01,PST001,CHR001,무료,3,0,29.87,0:00,0:00,PKN001,2023-08-31
AE230,16,4717012700,4717012700,368072064D,MNG001,64089,2017-01-01,PST001,CHR001,,5,0,65.63,,,PKN003,2023-08-31
AE230,8009,4717055500,4717013000,368081666A,MNG001,8023,2010-01-01,PST002,CHR001,무료,10,0,97.02,0:00,0:00,PKN003,2023-08-31
AE230,47,4717014400,4717010100,368072067C,MNG001,67032,2017-01-01,PST001,CHR002,30분당500원,3,0,35.85,7:00,20:00,PKN003,2023-08-31
AE230,5001,4717012200,4717012200,368072083B,MNG001,6141,2017-01-01,PST001,CHR001,무료,10,0,117.37,0:00,0:00,PKN001,2023-08-31
AE230,17,4717014300,4717012100,368072064D,MNG001,64033,2017-01-01,PST001,CHR001,,9,0,138.87,,,PKN003,2023-08-31
AE230,257,4717014500,4717014000,368072506A,MNG001,1998,2017-01-01,PST001,CHR001,,31,0,373.87,,,PKN001,2023-08-31
AE230,1,4717012700,4717012700,368072054C,MNG001,54060,2017-01-01,PST001,CHR001,,5,0,61.63,,,PKN003,2023-08-31
AE230,132,4717014400,4717010200,368072066C,MNG001,64,2017-01-01,PST001,CHR002,,2,0,0,8:00,20:00,PKN001,2023-08-31
AE230,240,4717014500,4717014000,368072505B,MNG001,2061,2017-01-01,PST001,CHR001,,7,0,85.1,,,PKN001,2023-08-31
AE230,40,4717014400,4717011600,368072077A,MNG001,77024,2017-01-01,PST001,CHR002,30분당500원,7,0,75.96,8:00,20:00,PKN003,2023-08-31
AE230,72,4717014400,4717011300,368072077B,MNG001,77039,2017-01-01,PST001,CHR002,30분당500원,3,0,31.32,8:00,20:00,PKN003,2023-08-31
AE230,100003,4717014300,4717012500,368072065B,MNG001,140247,2010-01-01,PST002,CHR001,무료,2,0,28.86,0:00,0:00,PKN003,2023-08-31
AE230,82,4717014400,4717011200,368072077B,MNG001,77123,2017-01-01,PST001,CHR002,30분당500원,1,0,13.2,8:00,20:00,PKN003,2023-08-31
AE230,2001,4717025000,4717025023,368071746A,MNG001,20656,2017-01-01,PST002,CHR001,무료,13,0,190.4,0:00,0:00,PKN003,2023-08-31
AE230,51,4717014400,4717010100,368072067C,MNG001,67044,2017-01-01,PST001,CHR002,30분당500원,3,0,50.64,7:00,20:00,PKN003,2023-08-31
AE230,63,4717014400,4717011300,368072077A,MNG001,77036,2017-01-01,PST001,CHR002,30분당500원,1,0,10.63,8:00,20:00,PKN003,2023-08-31
