주차장관리번호,"주차혼잡상태",총주차구획수,총잔여주차구획수,주차예약가능단위구획수
44026-19299-00005-00-1,,156,0,
44659-29299-00017-00-1,,775,0,
44659-29299-00018-00-1,,388,0,
44659-29299-00019-00-1,,77,0,
44659-29299-00020-00-1,,257,0,
44707-29299-00668-00-1,,447,0,
44638-29299-00668-00-1,,125,0,
44241-19299-00668-00-1,,126,0,
44660-29299-02002-00-1,,600,0,
44702-29299-00668-00-1,,532,0,
44660-29299-02003-00-1,,2000,0,
44660-29299-02004-00-1,,0,0,
44719-19299-00668-00-1,,90,0,
44923-29299-00668-00-1,,231,0,
45006-19299-00668-00-1,,179,0,
45001-19299-00668-00-1,,131,0,
44623-29299-00669-00-1,,248,0,
44713-29299-00668-00-1,,155,0,
44686-29299-00668-00-1,,98,0,
44601-19299-00667-00-1,,145,0,
44701-29299-00667-00-1,,211,0,
44703-19299-00667-00-1,,105,0,
44707-29299-00006-00-1,,447,0,
44638-29299-00006-00-1,,123,0,
44241-19299-00006-00-1,,126,0,
44660-29299-00016-00-1,,519,0,
44702-29299-00006-00-1,,530,0,
44660-29299-00017-00-1,,333,0,
44660-29299-00018-00-1,,1316,0,
44719-19299-00006-00-1,,103,0,
44923-29299-00006-00-1,,231,0,
45006-19299-00006-00-1,,179,0,
45001-19299-00006-00-1,,131,0,
44623-29299-00007-00-1,,248,0,
44052-29299-00667-00-1,,83,0,
44019-29299-00667-00-1,,73,0,
44026-19299-00667-00-1,,100,0,
44659-29299-02665-00-1,,0,0,
44659-29299-02666-00-1,,0,0,
44713-29299-00006-00-1,,155,0,
44686-29299-00006-00-1,,98,0,
44601-19299-00006-00-1,,145,0,
44701-29299-00006-00-1,,211,0,
44703-19299-00006-00-1,,105,0,
44052-29299-00006-00-1,,83,0,
44019-29299-00006-00-1,,73,0,
44026-19299-00006-00-1,,156,0,
44659-29299-00021-00-1,,775,0,
44659-29299-00022-00-1,,388,0,
44659-29299-00023-00-1,,77,0,
44659-29299-00024-00-1,,257,0,
44659-29299-02667-00-1,,0,0,
44659-29299-02668-00-1,,0,0,
44707-29299-00007-00-1,,447,0,
44638-29299-00007-00-1,,123,0,
44241-19299-00007-00-1,,126,0,
44660-29299-00019-00-1,,519,0,
44702-29299-00007-00-1,,530,0,
44660-29299-00020-00-1,,333,0,
44660-29299-00021-00-1,,1316,0,
44719-19299-00007-00-1,,103,0,
44923-29299-00007-00-1,,231,0,
45006-19299-00007-00-1,,179,0,
45001-19299-00007-00-1,,131,0,
44623-29299-00008-00-1,,248,0,
44713-29299-00007-00-1,,155,0,
44686-29299-00007-00-1,,98,0,
44601-19299-00007-00-1,,145,0,
44701-29299-00007-00-1,,211,0,
44703-19299-00007-00-1,,105,0,
44052-29299-00007-00-1,,83,0,
44019-29299-00007-00-1,,73,0,
44026-19299-00007-00-1,,156,0,
44659-29299-00025-00-1,,775,0,
44659-29299-00026-00-1,,388,0,
44659-29299-00027-00-1,,77,0,
44659-29299-00028-00-1,,257,0,
44707-29299-00008-00-1,,447,0,
44638-29299-00008-00-1,,123,0,
44241-19299-00008-00-1,,126,0,
44660-29299-00022-00-1,,519,0,
44702-29299-00008-00-1,,530,0,
44660-29299-00023-00-1,,333,0,
44660-29299-00024-00-1,,1316,0,
44719-19299-00008-00-1,,103,0,
44923-29299-00008-00-1,,231,0,
45006-19299-00008-00-1,,179,0,
45001-19299-00008-00-1,,131,0,
44623-29299-00009-00-1,,248,0,
44713-29299-00008-00-1,,155,0,
44686-29299-00008-00-1,,98,0,
44601-19299-00008-00-1,,145,0,
44701-29299-00008-00-1,,211,0,
44703-19299-00008-00-1,,105,0,
44052-29299-00008-00-1,,83,0,
44019-29299-00008-00-1,,73,0,
44026-19299-00008-00-1,,156,0,
44659-29299-00029-00-1,,775,0,
44659-29299-00030-00-1,,388,0,
44659-29299-00031-00-1,,77,0,
44659-29299-00032-00-1,,257,0,
44707-29299-00009-00-1,,447,0,
44638-29299-00009-00-1,,123,0,
44241-19299-00009-00-1,,126,0,
44660-29299-00025-00-1,,519,0,
44702-29299-00009-00-1,,530,0,
44660-29299-00026-00-1,,333,0,
44660-29299-00027-00-1,,1316,0,
44719-19299-00009-00-1,,103,0,
44923-29299-00009-00-1,,231,0,
45006-19299-00009-00-1,,179,0,
45001-19299-00009-00-1,,131,0,
44623-29299-00010-00-1,,248,0,
44713-29299-00009-00-1,,155,0,
44686-29299-00009-00-1,,98,0,
44601-19299-00009-00-1,,145,0,
44701-29299-00009-00-1,,211,0,
44703-19299-00009-00-1,,105,0,
44052-29299-00009-00-1,,83,0,
44019-29299-00009-00-1,,73,0,
44026-19299-00009-00-1,,156,0,
44659-29299-00033-00-1,,775,0,
44659-29299-00034-00-1,,388,0,
44659-29299-00035-00-1,,77,0,
44659-29299-00036-00-1,,257,0,
44707-29299-00010-00-1,,447,0,
44638-29299-00010-00-1,,123,0,
44241-19299-00010-00-1,,126,0,
44660-29299-00028-00-1,,519,0,
44702-29299-00010-00-1,,530,0,
44660-29299-00029-00-1,,333,0,
44660-29299-00030-00-1,,1316,0,
44719-19299-00010-00-1,,103,0,
44923-29299-00010-00-1,,231,0,
45006-19299-00010-00-1,,179,0,
45001-19299-00010-00-1,,131,0,
44623-29299-00011-00-1,,248,0,
44713-29299-00010-00-1,,155,0,
44686-29299-00010-00-1,,98,0,
44601-19299-00010-00-1,,145,0,
44701-29299-00010-00-1,,211,0,
44703-19299-00010-00-1,,105,0,
44052-29299-00010-00-1,,83,0,
44019-29299-00010-00-1,,73,0,
44026-19299-00010-00-1,,156,0,
44659-29299-00037-00-1,,775,0,
44659-29299-00038-00-1,,388,0,
44659-29299-00039-00-1,,77,0,
44659-29299-00040-00-1,,257,0,
44707-29299-00011-00-1,,447,0,
44638-29299-00011-00-1,,123,0,
44241-19299-00011-00-1,,126,0,
44660-29299-00031-00-1,,519,0,
44702-29299-00011-00-1,,530,0,
44660-29299-00032-00-1,,333,0,
44660-29299-00033-00-1,,1316,0,
44719-19299-00011-00-1,,103,0,
44923-29299-00011-00-1,,231,0,
45006-19299-00011-00-1,,179,0,
45001-19299-00011-00-1,,131,0,
44623-29299-00012-00-1,,248,0,
44713-29299-00011-00-1,,155,0,
44686-29299-00011-00-1,,98,0,
44601-19299-00011-00-1,,145,0,
44701-29299-00011-00-1,,211,0,
44703-19299-00011-00-1,,105,0,
44052-29299-00011-00-1,,83,0,
44019-29299-00011-00-1,,73,0,
44026-19299-00011-00-1,,156,0,
44659-29299-00041-00-1,,775,0,
44659-29299-00042-00-1,,388,0,
44659-29299-00043-00-1,,77,0,
44659-29299-00044-00-1,,257,0,
44707-29299-00669-00-1,,447,0,
44638-29299-00669-00-1,,125,0,
44241-19299-00669-00-1,,126,0,
44660-29299-02005-00-1,,600,0,
44702-29299-00669-00-1,,532,0,
44660-29299-02006-00-1,,2000,0,
44660-29299-02007-00-1,,0,0,
44719-19299-00669-00-1,,90,0,
44923-29299-00669-00-1,,231,0,
45006-19299-00669-00-1,,179,0,
44707-29299-00012-00-1,,447,0,
44638-29299-00012-00-1,,123,0,
44241-19299-00012-00-1,,126,0,
44660-29299-00034-00-1,,519,0,
44702-29299-00012-00-1,,530,0,
44660-29299-00035-00-1,,333,0,
44660-29299-00036-00-1,,1316,0,
44719-19299-00012-00-1,,103,0,
44923-29299-00012-00-1,,231,0,
45006-19299-00012-00-1,,179,0,
45001-19299-00012-00-1,,131,0,
44623-29299-00013-00-1,,248,0,
44713-29299-00012-00-1,,155,0,
44686-29299-00012-00-1,,98,0,
44601-19299-00012-00-1,,145,0,
44701-29299-00012-00-1,,211,0,
44703-19299-00012-00-1,,105,0,
44052-29299-00012-00-1,,83,0,
44019-29299-00012-00-1,,73,0,
44026-19299-00012-00-1,,156,0,
44659-29299-00045-00-1,,775,0,
44659-29299-00046-00-1,,388,0,
44659-29299-00047-00-1,,77,0,
44659-29299-00048-00-1,,257,0,
44707-29299-00013-00-1,,447,0,
44638-29299-00013-00-1,,123,0,
44241-19299-00013-00-1,,126,0,
44660-29299-00037-00-1,,519,0,
44702-29299-00013-00-1,,530,0,
44660-29299-00038-00-1,,333,0,
44660-29299-00039-00-1,,1316,0,
44719-19299-00013-00-1,,103,0,
44923-29299-00013-00-1,,231,0,
45006-19299-00013-00-1,,179,0,
45001-19299-00013-00-1,,131,0,
44623-29299-00014-00-1,,248,0,
44713-29299-00013-00-1,,155,0,
44686-29299-00013-00-1,,98,0,
44601-19299-00013-00-1,,145,0,
44701-29299-00013-00-1,,211,0,
44703-19299-00013-00-1,,105,0,
44052-29299-00013-00-1,,83,0,
44019-29299-00013-00-1,,73,0,
44026-19299-00013-00-1,,156,0,
44659-29299-00049-00-1,,775,0,
44659-29299-00050-00-1,,388,0,
44659-29299-00051-00-1,,77,0,
44659-29299-00052-00-1,,257,0,
44707-29299-00014-00-1,,447,0,
44638-29299-00014-00-1,,123,0,
44241-19299-00014-00-1,,126,0,
44660-29299-00040-00-1,,519,0,
44702-29299-00014-00-1,,530,0,
44660-29299-00041-00-1,,333,0,
44660-29299-00042-00-1,,1316,0,
44719-19299-00014-00-1,,103,0,
44923-29299-00014-00-1,,231,0,
45006-19299-00014-00-1,,179,0,
45001-19299-00014-00-1,,131,0,
44623-29299-00015-00-1,,248,0,
44713-29299-00014-00-1,,155,0,
44686-29299-00014-00-1,,98,0,
44601-19299-00014-00-1,,145,0,
44701-29299-00014-00-1,,211,0,
