건물명,도로명주소,지번주소,종류,대수,최종검사일자,검사결과,관리인배치여부,기타
 ,대구광역시 달성군 옥포면 강림리 203블록 1롯트,대구광역시 달성군 옥포면 강림리 203블록 1롯트,다단식,6,2015-05-20,적,무,건물명미정
 ,인천광역시 서구 왕길동 663-1,인천광역시 서구 왕길동 663-1,다단식,6,2016-09-08,적,무,건물명미정
 ,부산광역시 동래구 안락동 581-6,부산광역시 동래구 안락동 581-6,다단식,6,2017-08-29,적,무,건물명미정
 ,부산광역시 사하구 승학로 70-2 (당리동 317-24) ,부산광역시 사하구 당리동 317-24,2단식,6,2018-01-23,적,무,건물명미정
 ,서울특별시 강동구 성안로27길 29-14 (천호동 180-14) ,서울특별시 강동구 천호동 180-14,2단식,6,2018-05-21,적,무,건물명미정
 ,부산광역시 남구 고동골로47번길 25 (문현동 426-276) ,부산광역시 남구 문현동 426-276,다단식,6,2018-09-07,적,무,건물명미정
 ,서울특별시 서초구 마방로 10,서울특별시 서초구 양재동 249-3,다층순환식,6,2019-01-18,부,무,건물명미정
 ,서울특별시 관악구 솔밭로2길 38 (봉천동 1687-18) ,서울특별시 관악구 봉천동 1687-18,다단식,6,2019-08-29,적,무,건물명미정
 ,부산광역시 사상구 백양대로 697-10 (덕포동 97-27) ,부산광역시 사상구 덕포동 97-27,수직순환식,6,2019-09-09,적,무,건물명미정
 ,서울특별시 은평구 은평로 104 (응암동),서울특별시 은평구 응암동 110-53,수직순환식,6,2019-09-17,적,무,건물명미정
 ,서울특별시 광진구 광나루로 607 (광장동 530-44),서울특별시 광진구 광장동 530-44,수직순환식,6,2019-09-27,적,무,건물명미정
 ,충청북도 음성군 맹동면 동성리 470,충청북도 음성군 맹동면 동성리 470,다단식,6,2019-11-22,적,무,건물명미정
 ,서울특별시 관악구 신림동1길 20-4 (신림동 1432-29),서울특별시 관악구 신림동 1432-29,다단식,6,2019-12-04,적,무,건물명미정
 ,서울특별시 마포구 와우산로 13 (상수동),서울특별시 마포구 상수동 346-1,수직순환식,6,2019-12-19,적,무,건물명미정
 ,서울특별시 강동구 올림픽로62길 5-8 (성내동 80-3) ,서울특별시 강동구 성내동 80-3,다단식,6,2019-12-27,적,무,건물명미정
 ,강원도 춘천시 방송길 104 (온의동 589-2) ,강원도 춘천시 온의동 589-2,2단식,6,2020-03-05,적,무,건물명미정
 ,광주광역시 광산구 사암로383번길 25 (하남동 822) ,광주광역시 광산구 하남동 822,수직순환식,6,2020-03-25,적,무,건물명미정
 ,서울특별시 관악구 신림동3길 13 (신림동 1432-18) ,서울특별시 관악구 신림동 1432-18,다단식,6,2020-04-06,적,무,건물명미정
 ,서울특별시 강동구 올림픽로62길 9-3 (성내동 81-13) ,서울특별시 강동구 성내동 81-13,2단식,6,2020-05-28,적,무,건물명미정
 ,서울특별시 도봉구 도당로 146 (방학동),서울특별시 도봉구 방학동 704-26,수직순환식,6,2020-06-05,적,무,건물명미정
 ,대전광역시 서구 탄방동 721,대전광역시 서구 탄방동 721,다단식,6,2020-07-17,적,무,건물명미정
 ,서울특별시 마포구 잔다리로6길 20-9 (서교동 366-7) ,서울특별시 마포구 서교동 366-7,수직순환식,6,2020-08-24,적,무,건물명미정
 ,서울특별시 중구 동호로12길 23 (신당동 381-3) ,서울특별시 중구 신당동 381-3,수직순환식,6,2020-08-26,적,무,건물명미정
 ,서울특별시 중구 마장로16길 27 (황학동),서울특별시 중구 황학동 893,승강기식,6,2020-09-09,적,무,건물명미정
 ,서울특별시 강동구 올림픽로62길 17-4 (성내동 46-7) ,서울특별시 강동구 성내동 46-7,다단식,6,2020-09-15,적,무,건물명미정
 ,서울특별시 관악구 신림동3길 7 (신림동 1432-6) ,서울특별시 관악구 신림동 1432-6,다단식,6,2020-09-16,적,무,건물명미정
 ,서울특별시 중구 다산로6길 26 (신당동 366-77) ,서울특별시 중구 신당동 366-77,수직순환식,6,2020-09-21,적,무,건물명미정
 ,서울특별시 용산구 원효로48길 9 (원효로2가 92-10) ,서울특별시 용산구 원효로2가 92-10,다단식,6,2020-09-24,적,무,건물명미정
 ,서울특별시 강남구 강남대로158길 17 (신사동 508-8) 레드포이트 사옥,서울특별시 강남구 신사동 508-8,수직순환식,6,2020-10-13,적,무,건물명미정
 ,경상북도 김천시 혁신5로 51 (율곡동 77),경상북도 김천시 율곡동 77,수직순환식,6,2020-10-21,적,무,건물명미정
 ,충청남도 천안시 서북구 백석4길 5(백석동 888),충청남도 천안시 서북구 백석동 888,2단식,6,2020-10-26,적,무,건물명미정
 ,인천광역시 부평구 부평대로296번길 40 (갈산동 161) ,인천광역시 부평구 갈산동 161,다층순환식,6,2020-10-27,적,무,건물명미정
 ,부산광역시 금정구 장전동 195-10(도로명주소미지정),부산광역시 금정구 장전동 195-10,수직순환식,6,2020-11-13,적,무,건물명미정
